boundary_id,date,bin,n
8_11,2024-12-13,-1575,0
8_11,2024-12-13,-1525,1
8_11,2024-12-13,-1475,0
8_11,2024-12-13,-1425,0
8_11,2024-12-13,-1375,0
8_11,2024-12-13,-1325,0
8_11,2024-12-13,-1275,0
8_11,2024-12-13,-1225,0
8_11,2024-12-13,-1175,0
8_11,2024-12-13,-1125,0
8_11,2024-12-13,-1075,0
8_11,2024-12-13,-1025,0
8_11,2024-12-13,-975,2
8_11,2024-12-13,-925,0
8_11,2024-12-13,-875,0
8_11,2024-12-13,-825,1
8_11,2024-12-13,-775,0
8_11,2024-12-13,-725,0
8_11,2024-12-13,-675,0
8_11,2024-12-13,-625,0
8_11,2024-12-13,-575,0
8_11,2024-12-13,-525,0
8_11,2024-12-13,-475,1
8_11,2024-12-13,-425,0
8_11,2024-12-13,-375,1
8_11,2024-12-13,-325,0
8_11,2024-12-13,-275,1
8_11,2024-12-13,-225,0
8_11,2024-12-13,-175,1
8_11,2024-12-13,-125,0
8_11,2024-12-13,-75,1
8_11,2024-12-13,-25,0
8_11,2024-12-13,25,0
8_11,2024-12-13,75,0
8_11,2024-12-13,125,0
8_11,2024-12-13,175,0
8_11,2024-12-13,225,1
8_11,2024-12-13,275,0
8_11,2024-12-13,325,0
8_11,2024-12-13,375,0
8_11,2024-12-13,425,0
8_11,2024-12-13,475,0
8_11,2024-12-13,525,5
8_11,2024-12-13,575,0
8_11,2024-12-13,625,0
8_11,2024-12-13,675,0
8_11,2024-12-13,725,0
8_11,2024-12-13,775,0
8_11,2024-12-13,825,0
8_11,2024-12-13,875,0
8_11,2024-12-13,925,1
8_11,2024-12-13,975,0
8_11,2024-12-13,1025,0
8_11,2024-12-13,1075,0
8_11,2024-12-13,1125,1
8_11,2024-12-13,1175,0
8_11,2024-12-13,1225,1
8_11,2024-12-13,1275,2
8_11,2024-12-13,1325,0
8_11,2024-12-13,1375,0
8_11,2024-12-13,1425,0
8_11,2024-12-13,1475,2
8_11,2024-12-13,1525,2
8_11,2024-12-13,1575,0
8_11,2024-12-13,1625,0
8_11,2024-12-13,1675,0
8_11,2024-12-13,1725,0
8_11,2024-12-13,1775,1
8_11,2024-12-13,1825,0
8_11,2024-12-13,1875,0
8_11,2024-12-13,1925,1
8_11,2024-12-13,1975,0
8_11,2024-12-19,-1975,0
8_11,2024-12-19,-1925,2
8_11,2024-12-19,-1875,0
8_11,2024-12-19,-1825,0
8_11,2024-12-19,-1775,0
8_11,2024-12-19,-1725,0
8_11,2024-12-19,-1675,0
8_11,2024-12-19,-1625,0
8_11,2024-12-19,-1575,0
8_11,2024-12-19,-1525,0
8_11,2024-12-19,-1475,0
8_11,2024-12-19,-1425,0
8_11,2024-12-19,-1375,0
8_11,2024-12-19,-1325,0
8_11,2024-12-19,-1275,0
8_11,2024-12-19,-1225,0
8_11,2024-12-19,-1175,0
8_11,2024-12-19,-1125,0
8_11,2024-12-19,-1075,0
8_11,2024-12-19,-1025,0
8_11,2024-12-19,-975,0
8_11,2024-12-19,-925,0
8_11,2024-12-19,-875,0
8_11,2024-12-19,-825,0
8_11,2024-12-19,-775,0
8_11,2024-12-19,-725,1
8_11,2024-12-19,-675,0
8_11,2024-12-19,-625,0
8_11,2024-12-19,-575,0
8_11,2024-12-19,-525,0
8_11,2024-12-19,-475,0
8_11,2024-12-19,-425,0
8_11,2024-12-19,-375,0
8_11,2024-12-19,-325,0
8_11,2024-12-19,-275,0
8_11,2024-12-19,-225,0
8_11,2024-12-19,-175,2
8_11,2024-12-19,-125,2
8_11,2024-12-19,-75,0
8_11,2024-12-19,-25,2
8_11,2024-12-19,25,0
8_11,2024-12-19,75,0
8_11,2024-12-19,125,0
8_11,2024-12-19,175,0
8_11,2024-12-19,225,1
8_11,2024-12-19,275,0
8_11,2024-12-19,325,0
8_11,2024-12-19,375,0
8_11,2024-12-19,425,0
8_11,2024-12-19,475,0
8_11,2024-12-19,525,2
8_11,2024-12-19,575,0
8_11,2024-12-19,625,0
8_11,2024-12-19,675,0
8_11,2024-12-19,725,0
8_11,2024-12-19,775,0
8_11,2024-12-19,825,1
8_11,2024-12-19,875,0
8_11,2024-12-19,925,0
8_11,2024-12-19,975,0
8_11,2024-12-19,1025,0
8_11,2024-12-19,1075,1
8_11,2024-12-19,1125,0
8_11,2024-12-19,1175,0
