crime_id,date,polygon_id,shift_id,treated,boundary_id,boundary_distance,running_var,treated_polygon_id,control_polygon_id,x_magna_m,y_magna_m,is_duplicate_record,in_estimation_sample,within_distance_screen,treated_side,abs_distance_m,log_distance_m,distance_km
SUR-00541332-25,2025-03-26,9,2,1,9_12,1864.679516799412,-1864.679516799412,9,12,992647.702511834,1012655.0694465048,0,1,1,treated,1864.679516799412,7.531380617889049,-1.864679516799412
SUR-00541354-25,2025-03-26,9,2,1,9_12,1864.679516799412,-1864.679516799412,9,12,992647.702511834,1012655.0694465048,0,1,1,treated,1864.679516799412,7.531380617889049,-1.864679516799412
SUR-00541378-25,2025-03-26,9,2,1,9_12,1864.679516799412,-1864.679516799412,9,12,992647.702511834,1012655.0694465048,0,1,1,treated,1864.679516799412,7.531380617889049,-1.864679516799412
SUR-00541491-25,2025-03-26,9,2,1,9_12,1864.679516799412,-1864.679516799412,9,12,992647.702511834,1012655.0694465048,0,1,1,treated,1864.679516799412,7.531380617889049,-1.864679516799412
SUR-00541516-25,2025-03-26,9,2,1,9_12,1864.679516799412,-1864.679516799412,9,12,992647.702511834,1012655.0694465048,0,1,1,treated,1864.679516799412,7.531380617889049,-1.864679516799412
SUR-00698923-25,2025-04-18,9,2,0,9_12,1811.4516859169555,1811.4516859169555,12,9,992476.6815456745,1012770.7887694356,0,1,1,control,1811.4516859169555,7.502435730327734,1.811451685916956
SUR-00513526-25,2025-03-22,9,2,0,9_12,1973.215771086212,1973.215771086212,12,9,993115.2948923178,1012421.2398756726,0,1,1,control,1973.215771086212,7.587926520547873,1.9732157710862115
SUR-00719992-25,2025-04-22,9,2,1,5_9,1758.7226577371823,-1758.7226577371823,9,5,993527.5398390782,1014122.3323189426,0,1,1,treated,1758.7226577371823,7.472911494783887,-1.7587226577371824
SUR-00757391-25,2025-04-27,9,2,0,9_12,1793.5621163726264,1793.5621163726264,12,9,994127.7891405644,1011409.7068585396,0,1,1,control,1793.5621163726264,7.492516324852123,1.7935621163726263
SUR-00752942-25,2025-04-27,9,2,0,9_12,1817.2897260941083,1817.2897260941083,12,9,994126.7663109124,1011440.4619397604,0,1,1,control,1817.2897260941083,7.505651627328414,1.8172897260941083
SUR-00670459-25,2025-04-13,9,2,1,9_12,1978.5512648507856,-1978.5512648507856,9,12,994221.9525482556,1011570.7013278618,0,1,1,treated,1978.5512648507856,7.59062546408949,-1.9785512648507857
